sources,target,author,date,statement,processed_statement
X posts,0,Marta Campabadal,"• January 16,",“El Departamento de Bomberos de Los Ángeles está utilizando bolsos de mujer para recoger agua en su lucha contra el incendio”.,el departamento de bomberos de los ngeles est utilizando bolsos de mujer para recoger agua en su lucha contra el incendio
Instagram posts,0,Maria Briceño,"January 16, 2025",“El ejército de Los Estados Unidos se encuentra preparado para entrar a Venezuela a derrocar la dictadura de Nicolás Maduro”.,el ej rcito de los estados unidos se encuentra preparado para entrar a venezuela a derrocar la dictadura de nicol s maduro
Instagram posts,0,Madison Czopek,"January 15, 2025",The Biden administration is offering only “$770 for people who lost everything” in the Los Angeles wildfires.,the biden administration is offering only for people who lost everything in the los angeles wildfires
Instagram posts,0,Ciara O'Rourke,"January 15, 2025",“The FBI has arrested the owner of the company responsible for the fires in Los Angeles.”,the fbi has arrested the owner of the company responsible for the fires in los angeles
Viral image,0,Ciara O'Rourke,"January 15, 2025",Trees still standing amid wildfire damage in the Los Angeles area are evidence of directed energy weapons.,trees still standing amid wildfire damage in the los angeles area are evidence of directed energy weapons
Viral image,0,Ciara O'Rourke,"January 15, 2025",Photo shows Elon Musk and Taylor Swift visiting “production facilities” for an energy-saving device.,photo shows elon musk and taylor swift visiting production facilities for an energy saving device
Instagram posts,0,Loreben Tuquero,"January 15, 2025",Video shows “Israeli tourists celebrating” the Los Angeles wildfires.,video shows israeli tourists celebrating the los angeles wildfires
Social Media,0,Sofia Ahmed,"January 15, 2025",An image shows Robert Redford’s Oscar statuette destroyed in the Los Angeles wildfires.,an image shows robert redford s oscar statuette destroyed in the los angeles wildfires
Threads posts,0,Ciara O'Rourke,"January 15, 2025",“If they wanted to stop the fires they would make it rain.”,if they wanted to stop the fires they would make it rain
Facebook posts,0,Ciara O'Rourke,"January 15, 2025",“Oprah Winfrey announces she will leave America before January 20.”,oprah winfrey announces she will leave america before january
Tony Evers,1,Hope Karnopp,"January 15, 2025","“After 30 years of Wisconsin’s checking account running a deficit, we've ended every fiscal year I've been governor with a positive balance. Today, we have a $4.5 billion positive balance, and a record-high balance in our state savings account.""",after years of wisconsin s checking account running a deficit we have ended every fiscal year i have been governor with a positive balance today we have a billion positive balance and a record high balance in our state savings account
Instagram posts,0,Marta Campabadal,"• January 14,",“The LAFD are using women’s handbags to hold water to put out fires.”,the lafd are using women s handbags to hold water to put out fires
Instagram posts,0,Kwasi Gyamfi,"• January 14,",Says President-elect Donald Trump posted on X that he will “be giving Staten Island to New Jersey.”,says president elect donald trump posted on x that he will be giving staten island to new jersey
Threads posts,0,Loreben Tuquero,"January 14, 2025",California Gov. Gavin Newsom and California Democrats “literally decriminalized looting.”,california gov gavin newsom and california democrats literally decriminalized looting
Instagram posts,0,Madison Czopek,"January 14, 2025","“​​Oregon sent 60 fire trucks to California to help with the fires, but they’re being held in Sacramento for emissions testing.”",oregon sent fire trucks to california to help with the fires but they are being held in sacramento for emissions testing
Instagram posts,0,Sara Swann,"January 14, 2025",The Los Angeles wildfires were planned in preparation for the 2028 Olympics.,the los angeles wildfires were planned in preparation for the olympics
More Perfect Union,0,Caleb McCullough,"January 14, 2025","“One billionaire couple owns almost all the water in California.""",one billionaire couple owns almost all the water in california
Facebook posts,0,Caleb McCullough,"January 14, 2025",“P Diddy’s California mansion has been completely consumed by fire.”,p diddy s california mansion has been completely consumed by fire
Facebook posts,0,Sofia Ahmed,"January 14, 2025",Imagen muestra “casa de familia católica salió intacta del incendio” en California en enero de 2025.,imagen muestra casa de familia cat lica sali intacta del incendio en california en enero de
Facebook posts,0,Maria Briceño,"January 13, 2025",Los incendios en California “han llegado a Tijuana en la entrada de villa del campo en los cerros”.,los incendios en california han llegado a tijuana en la entrada de villa del campo en los cerros
Instagram posts,0,Jeff Cercone,"January 13, 2025",Video shows people in Los Angeles looting from homes during wildfires.,video shows people in los angeles looting from homes during wildfires
Facebook posts,0,Sofia Ahmed,"January 13, 2025",A photo shows a Christian’s home that “miraculously survived Los Angeles wildfire.”,a photo shows a christian s home that miraculously survived los angeles wildfire
Threads posts,0,Ciara O'Rourke,"January 13, 2025",Image shows former President Barack Obama was born in Kenya.,image shows former president barack obama was born in kenya
Facebook posts,0,Maria Briceño,"January 13, 2025",Esta imagen muestra los incendios en California de enero 2025.,esta imagen muestra los incendios en california de enero
Threads posts,0,Madison Czopek,"January 10, 2025",“Blue items that survive” California wildfires are “indicative of DEW's (Directed Energy Weapons).”,blue items that survive california wildfires are indicative of dew s directed energy weapons
Facebook posts,0,Maria Briceño,"January 10, 2025",Imagen muestra el letrero de Hollywood en California en llamas el 8 de enero de 2025.,imagen muestra el letrero de hollywood en california en llamas el de enero de
Facebook posts,0,Loreben Tuquero,"January 10, 2025",Video shows a man saving a bunny during the 2025 Los Angeles fires.,video shows a man saving a bunny during the los angeles fires
Social Media,0,Loreben Tuquero,"January 10, 2025",Image shows the Hollywood sign was on fire as of Jan. 8.,image shows the hollywood sign was on fire as of january
Viral image,0,Ciara O'Rourke,"January 10, 2025",Video shows Dr. Mehmet Oz and rapper Snoop Dogg promoting treatment for chronic lung diseases.”,video shows dr mehmet oz and rapper snoop dogg promoting treatment for chronic lung diseases
X posts,0,Ciara O'Rourke,"January 10, 2025",Video shows directed energy weapons starting fires in California.,video shows directed energy weapons starting fires in california
Viral image,0,Ciara O'Rourke,"January 10, 2025",McQueen High School in Nevada issued a “masturbation notice” to students.,mcqueen high school in nevada issued a masturbation notice to students
Viral image,0,Ciara O'Rourke,"January 10, 2025",Actor Tom Hanks died in a “fatal car accident.”,actor tom hanks died in a fatal car accident
X posts,0,Kwasi Gyamfi,"• January 10,",“FEMA spent billions on illegal immigrants and now has no money for California!”,fema spent billions on illegal immigrants and now has no money for california
Threads posts,0,Maria Briceño,"January 9, 2025",California wildfires “are a deliberate criminal land grab in preparation for Agenda 2030 and smart cities.”,california wildfires are a deliberate criminal land grab in preparation for agenda and smart cities
Facebook posts,0,Loreben Tuquero,"January 9, 2025","“Beyoncé alleges Diddy has been secretly hiding Michael Jackson, who faked his death.”",beyonc alleges diddy has been secretly hiding michael jackson who faked his death
Threads posts,0,Sara Swann,"January 9, 2025",The Los Angeles Police Department is “looking for three ‘persons of interest’ all tied to a MAGA website who were spotted at the source of all three major LA fires.”,the los angeles police department is looking for three persons of interest all tied to a maga website who were spotted at the source of all three major la fires
Instagram posts,0,Marta Campabadal,"• January 9,",“China declara estado de emergencia por brote masivo de virus mortales”.,china declara estado de emergencia por brote masivo de virus mortales
Bernie Sanders,1,Amy Sherman,"January 9, 2025","H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",h b guest workers are being employed as dog trainers massage therapists cooks and english teachers
Facebook posts,0,Marta Campabadal,"• January 9,","""Acaban declarar inocente a Sebastian Zapeta”, el hombre acusado de prender en llamas a una mujer en el metro de Nueva York.",acaban declarar inocente a sebastian zapeta el hombre acusado de prender en llamas a una mujer en el metro de nueva york
Facebook posts,0,Ciara O'Rourke,"January 8, 2025","Says Elon Musk said, “The Boeing Starliner’s stranded astronauts are not with us anymore,” and “they won’t come back.”",says elon musk said the boeing starliner s stranded astronauts are not with us anymore and they will not come back
Threads posts,0,Ciara O'Rourke,"January 8, 2025",“Mark Cuban shifts company from Texas to California: ‘Can’t operate in red states.’”,mark cuban shifts company from texas to california cannot operate in red states
Threads posts,0,Caleb McCullough,"January 8, 2025","After Donald Trump offered to buy Greenland, “Denmark clapped back saying they’d buy the USA, give us free healthcare, and actually make America great again.”",after donald trump offered to buy greenland denmark clapped back saying they would buy the usa give us free healthcare and actually make america great again
Facebook posts,0,Madison Czopek,"January 8, 2025",“DEAL DONE: New Orleans Saints owner Gayle Benson make(s) a handshake deal of $789.5 million contract with former Saints QB Drew Brees as new general manager following Mickey Loomis departure…”,deal done new orleans saints owner gayle benson make s a handshake deal of million contract with former saints qb drew brees as new general manager following mickey loomis departure
Viral image,0,Ciara O'Rourke,"January 8, 2025",Video shows Sean “Diddy” Combs “riding a bike in jail.”,video shows sean diddy combs riding a bike in jail
Grok AI,0,Loreben Tuquero,"January 7, 2025","President Joe Biden rescinded a Medal of Freedom given to Trump’s “campaign manager, Bradley Birkenfeld, in 2021.”",president joe biden rescinded a medal of freedom given to trump s campaign manager bradley birkenfeld in
Instagram posts,0,Sara Swann,"January 7, 2025",China has “a mystery disease outbreak” and has declared a “state of emergency.”,china has a mystery disease outbreak and has declared a state of emergency
Donald Trump,0,Amy Sherman,"January 7, 2025",“They’re still counting the (2024 election) vote in some areas.”,they are still counting the election vote in some areas
Facebook posts,0,Loreben Tuquero,"January 7, 2025",“Elon Musk has just acquired Boeing.”,elon musk has just acquired boeing
Viral image,0,Ciara O'Rourke,"January 7, 2025","Video shows U.S. Rep. Nancy Pelosi, D-Calif., falling.",video shows you s rep nancy pelosi d calif falling
Facebook posts,0,Caleb McCullough,"January 7, 2025","Mike McCarthy “to take over as Head Coach for the San Francisco 49ers.""",mike mccarthy to take over as head coach for the san francisco ers
Facebook posts,0,Maria Briceño,"January 7, 2025","El doctor Juan Rivera revela ""un nuevo truco natural"" con ajo y limón para la diabetes.",el doctor juan rivera revela un nuevo truco natural con ajo y lim n para la diabetes
TikTok posts,0,Paul Specht,"January 6, 2025","Mitchell County, North Carolina, sheriff’s deputies “stole” generators intended for Hurricane Helene victims.",mitchell county north carolina sheriff s deputies stole generators intended for hurricane helene victims
Instagram posts,0,Kwasi Gyamfi,"• January 6,",“They still haven’t cracked” Thomas Matthew Crooks’ phone.,they still have not cracked thomas matthew crooks phone
Facebook posts,0,Caleb McCullough,"January 6, 2025",Photo shows a child “found” in several cities.,photo shows a child found in several cities
Threads posts,0,Ciara O'Rourke,"January 6, 2025",“22 states will not be certifying the (2024) election.”,states will not be certifying the election
Facebook posts,0,Madison Czopek,"January 6, 2025","“BREAKING: A second attack in New Orleans has been uncovered, police are searching.”",breaking a second attack in new orleans has been uncovered police are searching
Social Media,1,D.L. Davis,"January 6, 2025","“Trump won 18-to-24-year-olds in Wisconsin.""",trump won to year olds in wisconsin
Facebook posts,0,Marta Campabadal,"• January 3,","""En Shanghai, se incendió ayer una bodega de la firma Temu”.",en shanghai se incendi ayer una bodega de la firma temu
Facebook posts,0,Maria Briceño,"January 3, 2025",“Ella es Amelia Carter un hombre le prendió fuego mientras dormía en el tren de Nueva York”.,ella es amelia carter un hombre le prendi fuego mientras dorm a en el tren de nueva york
Social Media,0,Sara Swann,"January 3, 2025",Photo shows a large Temu warehouse in China “went up in flames.”,photo shows a large temu warehouse in china went up in flames
Instagram posts,0,Loreben Tuquero,"January 3, 2025","Video shows “Fort Worth, Texas pileup, January (1st), 2025.”",video shows fort worth texas pileup january st
Facebook posts,0,Grace Abels,"January 2, 2025","Queen Consort Camilla revealed that she was ""born a man.”",queen consort camilla revealed that she was born a man
Facebook posts,0,Maria Briceño,"January 2, 2025",“The subway burning victim's name was Amelia Carter.”,the subway burning victim s name was amelia carter
Ron Johnson,0,Madeline Heim,"January 2, 2025",“There's never been a placebo-controlled study on childhood vaccines.”,there is never been a placebo controlled study on childhood vaccines
Facebook posts,0,Caleb McCullough,"December 30, 2024","“The true nature of cancer is a parasite, hence why, Ivermectin, in conjunction with mebendazole, and (fenbendazole) is so effective.”",the true nature of cancer is a parasite hence why ivermectin in conjunction with mebendazole and fenbendazole is so effective
Facebook posts,0,Sofia Ahmed,"December 30, 2024",Video shows CNN reporting that Pfizer representatives set Barbara O’Neill’s car on fire “for discovering an anti-diabetes method.”,video shows cnn reporting that pfizer representatives set barbara o neill s car on fire for discovering an anti diabetes method
Instagram posts,0,Sofia Ahmed,"December 30, 2024","RFK Jr. posted on X that, “Effective January 20th, all Genetically Modified Organisms (GMOs) will be BANNED in the United States.”",rfk jr posted on x that effective january th all genetically modified organisms gmos will be banned in the united states
Threads posts,0,Madison Czopek,"December 30, 2024","President Jimmy Carter verbatim said, “evangelical Christianity has been hijacked by people who would have given Jesus himself the boot if he knocked on their door.”",president jimmy carter verbatim said evangelical christianity has been hijacked by people who would have given jesus himself the boot if he knocked on their door
Instagram posts,0,Caleb McCullough,"December 30, 2024",“Bill Gates will be implanting digital IDs in newborns in Kenya.”,bill gates will be implanting digital ids in newborns in kenya
Facebook posts,0,Caleb McCullough,"December 30, 2024",“The referees in the (Dec. 15) game between the Philadelphia Eagles and the Pittsburgh Steelers have been suspended after the match revealed that the officials overlooked numerous errors by the Eagles.”,the referees in the december game between the philadelphia eagles and the pittsburgh steelers have been suspended after the match revealed that the officials overlooked numerous errors by the eagles
Kathy Hochul,1,Jill Terreri,"• December 26,","We’ve created 732,000 jobs since I've been governor.",we have created jobs since i have been governor
Facebook posts,0,Sofia Ahmed,"December 20, 2024","Residents in states across the U.S. are eligible for a $2,200 holiday stimulus payment.",residents in states across the you s are eligible for a holiday stimulus payment
Viral image,0,Ciara O'Rourke,"December 20, 2024",Video shows Dr. Mehmet Oz and singer Reba McEntire promoting treatment for chronic lung diseases.,video shows dr mehmet oz and singer reba mcentire promoting treatment for chronic lung diseases
Facebook posts,0,Ciara O'Rourke,"December 20, 2024",The NFL punished three referees in “the game between the Atlanta Falcons and the Minnesota Vikings.”,the nfl punished three referees in the game between the atlanta falcons and the minnesota vikings
Viral image,0,Ciara O'Rourke,"December 20, 2024","Image shows Kate, the Princess of Wales, without hair.",image shows kate the princess of wales without hair
Facebook posts,0,Ciara O'Rourke,"December 20, 2024",“The NFL has abruptly fired three referees who officiated the game between the San Francisco 49ers and the Los Angeles Rams.”,the nfl has abruptly fired three referees who officiated the game between the san francisco ers and the los angeles rams
Instagram posts,0,Ciara O'Rourke,"December 20, 2024",Video shows Vice President Kamala Harris “is plastered again!”,video shows vice president kamala harris is plastered again
Social Media,0,Loreben Tuquero,"December 19, 2024","Tipster in UnitedHealthcare CEO killing is ineligible for reward money ""because she called 911 instead of the tip line.""",tipster in unitedhealthcare ceo killing is ineligible for reward money because she called instead of the tip line
Sara Jacobs,1,Louis Jacobson,"December 19, 2024",Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,government shutdowns in and cost our economy billions of dollars each
Department of Government Efficiency,0,Madison Czopek,"December 19, 2024","Spending plan to prevent a government shutdown includes “a pay increase for members of Congress from $174,000 to $243,000 per year.”",spending plan to prevent a government shutdown includes a pay increase for members of congress from to per year
Facebook posts,0,Ciara O'Rourke,"December 19, 2024","“Ivermectin is a treatment after Covid and after vaccination, it is an effective medicine in all phases of Covid 19.”",ivermectin is a treatment after covid and after vaccination it is an effective medicine in all phases of covid
Threads posts,0,Ciara O'Rourke,"December 18, 2024",Video shows footage of a “drone crash.”,video shows footage of a drone crash
Facebook posts,0,Madison Czopek,"December 18, 2024",“Elon Musk unveils a $100 Tesla tablet that will revolutionize the technological world.”,elon musk unveils a tesla tablet that will revolutionize the technological world
Instagram posts,0,Kwasi Gyamfi,"• December 18,","“A Coca-Cola truck filled with kids was found by police in Cicero, Illinois.”",a coca cola truck filled with kids was found by police in cicero illinois
Facebook posts,0,Grace Abels,"December 18, 2024","“Men’s swimming team refuses to compete against Lia Thomas, calling her a 'cheat'”",men s swimming team refuses to compete against lia thomas calling her a cheat
Instagram posts,0,Jeff Cercone,"December 18, 2024",New Jersey drones are searching for missing radioactive material.,new jersey drones are searching for missing radioactive material
Instagram posts,0,Kwasi Gyamfi,"• December 17,",Video shows a drone crashed in New Jersey.,video shows a drone crashed in new jersey
Social Media,0,Sara Swann,"December 17, 2024",“The school shooter in Madison Wisconsin Christian School shooting has been identified as a female identifying as a male.”,the school shooter in madison wisconsin christian school shooting has been identified as a female identifying as a male
Facebook posts,0,Maria Briceño,"December 17, 2024","""The city of… is being warned to be alert & vigilant as there is a serial killer on the run,”  Robert Thibodeau.",the city of is being warned to be alert vigilant as there is a serial killer on the run robert thibodeau
Facebook posts,0,Madison Czopek,"December 17, 2024","Drones reported in the U.S., including around the U.S. Capitol, have directed-energy weapons that have a “space-based laser generating system that can create pestilence.”",drones reported in the you s including around the you s capitol have directed energy weapons that have a space based laser generating system that can create pestilence
Doug Mastriano,0,Jeff Cercone,"December 17, 2024",Photo shows a downed drone,photo shows a downed drone
Instagram posts,0,Sofia Ahmed,"December 17, 2024",Photo of a young man in a tie shows Wisconsin school shooter Natalie Rupnow.,photo of a young man in a tie shows wisconsin school shooter natalie rupnow
Instagram posts,0,Loreben Tuquero,"December 17, 2024","Video shows “Yellowstone’s super volcano is now really, really exploding.”",video shows yellowstone s super volcano is now really really exploding
Facebook posts,0,Sara Swann,"December 16, 2024","A video shows President Joe Biden saying, “There are no drones over the United States.”",a video shows president joe biden saying there are no drones over the united states
Instagram posts,0,Jeff Cercone,"December 16, 2024",“The Pentagon has confirmed that the mysterious drones appearing across the globe are NOT of earthly origin.”,the pentagon has confirmed that the mysterious drones appearing across the globe are not of earthly origin
Threads posts,0,Sofia Ahmed,"December 16, 2024",“Pride flags permanently prohibited at FIFA Club World Cup 2025.”,pride flags permanently prohibited at fifa club world cup
Threads posts,0,Madison Czopek,"December 13, 2024",Photos show mysterious drones reported flying over parts of New Jersey in November and December 2024.,photos show mysterious drones reported flying over parts of new jersey in november and december
Instagram posts,0,Sofia Ahmed,"December 13, 2024",Video shows Mitch McConnell appearing in a press conference with a bandage around his head.,video shows mitch mcconnell appearing in a press conference with a bandage around his head
Facebook posts,0,Sara Swann,"December 13, 2024",Images show Taylor Swift with Elon Musk promoting a household energy consumption reduction device.,images show taylor swift with elon musk promoting a household energy consumption reduction device
Instagram posts,0,Madison Czopek,"December 13, 2024","“After meeting with Elon Musk, Republican leader Sen. John Thune announces plans to cut Social Security.”",after meeting with elon musk republican leader sen john thune announces plans to cut social security
Facebook posts,0,Ciara O'Rourke,"December 13, 2024",Six hundred body bags were “filled the first day” of Hurricane Helene recovery in North Carolina.,six hundred body bags were filled the first day of hurricane helene recovery in north carolina
Viral image,0,Ciara O'Rourke,"December 13, 2024",“Dr. Assad will return to ophthalmology after being deposed as president of Syria and plans to set up an eye clinic in Russia.”,dr assad will return to ophthalmology after being deposed as president of syria and plans to set up an eye clinic in russia
Threads posts,0,Sofia Ahmed,"December 12, 2024",“Texas declares bringing a pride flag to the classroom a crime.”,texas declares bringing a pride flag to the classroom a crime
TikTok posts,0,Maria Briceño,"December 12, 2024","Usuarios en redes sociales leen ‘manifiesto’ escrito por Luigi Mangione, el sospechoso de la muerte del ejecutivo de UnitedHealthcare.",usuarios en redes sociales leen manifiesto escrito por luigi mangione el sospechoso de la muerte del ejecutivo de unitedhealthcare
Threads posts,0,Ciara O'Rourke,"December 12, 2024",“Elon Musk said he might run for governor of California.”,elon musk said he might run for governor of california
Facebook posts,0,Ciara O'Rourke,"December 12, 2024",Video shows actor Kevin Costner and Dr. Mehmet Oz discussing treatment for chronic lung diseases.,video shows actor kevin costner and dr mehmet oz discussing treatment for chronic lung diseases
Charlie Kirk,0,Madison Czopek,"December 12, 2024",The 14th Amendment “has never been challenged at SCOTUS.”,the th amendment has never been challenged at scotus
Facebook posts,0,Sofia Ahmed,"December 12, 2024","Taylor Swift vowed to leave Elon Musk’s “toxic app X,” during the final moments of her Eras tour, calling him “rich, talented but heartless and immoral.”",taylor swift vowed to leave elon musk s toxic app x during the final moments of her eras tour calling him rich talented but heartless and immoral
Jay Rothman,1,Hope Karnopp,"December 12, 2024","“The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The $855 million (budget request) gets us up to average.”",the universities of wisconsin are rd out of states in the nation in terms of public support for our universities the million budget request gets us up to average
Threads posts,0,Sara Swann,"December 11, 2024",“A $7.20 an hour McDonalds employee … now gets a cool 1/2 million dollar reward” for helping police find the suspected UnitedHealthcare CEO shooter.,a an hour mcdonalds employee now gets a cool million dollar reward for helping police find the suspected unitedhealthcare ceo shooter
Facebook posts,0,Kwasi Gyamfi,"• December 11,",“Leaked secret recording” captured Ghana’s Vice President Mahamudu Bawumia calling Ghanaians “gullible and weak-minded.”,leaked secret recording captured ghana s vice president mahamudu bawumia calling ghanaians gullible and weak minded
Mike Johnson,0,Louis Jacobson,"December 11, 2024",About 1% of federal employees are “actually working in the office.”,about of federal employees are actually working in the office
Instagram posts,0,Marta Campabadal,"• December 11,",“New $40K AIDS cure is nearly 100% effective and requires two shots yearly.”,new k aids cure is nearly effective and requires two shots yearly
Threads posts,0,Sofia Ahmed,"December 11, 2024",Photo shows pile of X-rated DVDs found at former Syrian president Bashar Assad’s palace.,photo shows pile of x rated dvds found at former syrian president bashar assad s palace
Social Media,0,Jeff Cercone,"December 10, 2024","Substack article shows manifesto of Luigi Mangione, the suspect in health care executive's killing.",substack article shows manifesto of luigi mangione the suspect in health care executive s killing
Social Media,0,Loreben Tuquero,"December 10, 2024","“Brian Thompson, the CEO of UnitedHealthcare, was set to testify against Nancy Pelosi for insider trading.”",brian thompson the ceo of unitedhealthcare was set to testify against nancy pelosi for insider trading
Facebook posts,0,Ciara O'Rourke,"December 10, 2024",“Joe Rogan to replace Rachel Maddow as MSNBC’s prime-time host after Elon Musk takeover.”,joe rogan to replace rachel maddow as msnbc s prime time host after elon musk takeover
Threads posts,0,Ciara O'Rourke,"December 10, 2024",Video shows Fox News host Jeanine Pirro criticizing President-elect Donald Trump.,video shows fox news host jeanine pirro criticizing president elect donald trump
Threads posts,0,Jeff Cercone,"December 10, 2024",President-elect Donald Trump’s “plan to end birthright citizenship would mean (four) of his children wouldn't be considered US citizens.”,president elect donald trump s plan to end birthright citizenship would mean four of his children would not be considered us citizens
Threads posts,0,Sofia Ahmed,"December 10, 2024","Elon Musk criticized the UnitedHealthcare CEO shooter on X, saying, “It’s disgusting how everyone is turning this guy into some kind of folk hero.”",elon musk criticized the unitedhealthcare ceo shooter on x saying it is disgusting how everyone is turning this guy into some kind of folk hero
X posts,1,Paul Specht,"December 10, 2024",FEMA delivered “only four” temporary housing units to Helene victims in North Carolina as of Nov. 20.,fema delivered only four temporary housing units to helene victims in north carolina as of november
Facebook posts,0,Kwasi Gyamfi,"• December 10,","A “no-strings-attached $1,000 stimulus” check has been approved for “every U.S. resident” ahead of Donald Trump’s presidency.”",a no strings attached stimulus check has been approved for every you s resident ahead of donald trump s presidency
Instagram posts,0,Ciara O'Rourke,"December 10, 2024",Video shows “NYC coming together to dance in the streets over the universal American love” of dead CEOs.,video shows nyc coming together to dance in the streets over the universal american love of dead ceos
TikTok posts,0,Gideon Hess,"December 10, 2024",Video shows CEO homicide suspect Luigi Mangione posted YouTube videos teasing his plans,video shows ceo homicide suspect luigi mangione posted youtube videos teasing his plans
Instagram posts,0,Sara Swann,"December 9, 2024","Robert F. Kennedy Jr. posted on X that on Jan. 20, “I will be banning all consumption of Diet Coke in the United States.”",robert f kennedy jr posted on x that on january i will be banning all consumption of diet coke in the united states
Social Media,0,Sofia Ahmed,"December 9, 2024",UnitedHealthcare posted a job opening for a CEO 24 hours after its CEO was killed.,unitedhealthcare posted a job opening for a ceo hours after its ceo was killed
Instagram posts,0,Sofia Ahmed,"December 6, 2024","“The population in Gaza has increased by 2.02% since Oct. 7, 2023.”",the population in gaza has increased by since october
Threads posts,0,Madison Czopek,"December 6, 2024","Elon Musk wrote on X that “without CEOs, the world would not be able to function” and “America will be destitute without us.”",elon musk wrote on x that without ceos the world would not be able to function and america will be destitute without us
Instagram posts,0,Jeff Cercone,"December 6, 2024","""Vaccine researcher Peter Hotez says multiple viruses will be unleashed on America the day after Trump takes office.""",vaccine researcher peter hotez says multiple viruses will be unleashed on america the day after trump takes office
Facebook posts,0,Sara Swann,"December 6, 2024",Fox News commentator Dr. Kelly Powers died from “turbo cancer” caused by COVID-19 vaccines.,fox news commentator dr kelly powers died from turbo cancer caused by covid vaccines
Instagram posts,0,Loreben Tuquero,"December 6, 2024",“Trump was impeached for trying to investigate all the crimes that Joe Biden just pardoned Hunter over.”,trump was impeached for trying to investigate all the crimes that joe biden just pardoned hunter over
Threads posts,0,Kwasi Gyamfi,"• December 5,",“Elon Musk is not a citizen of the United States.”,elon musk is not a citizen of the united states
Facebook posts,0,Marta Campabadal,"• December 5,","""Última hora: secuestraron al doctor Juan J. Rivera quien reveló un remedio casero que elimina la causa de la diabetes en solo un día"".",ltima hora secuestraron al doctor juan j rivera quien revel un remedio casero que elimina la causa de la diabetes en solo un d a
Facebook posts,0,Sara Swann,"December 5, 2024",Photo shows President Joe Biden used his son Hunter’s injuries from a car accident as a photo opportunity when taking the oath of office for Senate in 1973.,photo shows president joe biden used his son hunter s injuries from a car accident as a photo opportunity when taking the oath of office for senate in
Instagram posts,0,Loreben Tuquero,"December 5, 2024",“Bill Gates has been indicted in the Netherlands.”,bill gates has been indicted in the netherlands
Facebook posts,0,Ciara O'Rourke,"December 5, 2024",“Elon Musk decides to withdraw support” for World Boxing Organization unless Imane Khelif’s “medal and $25 million bonus are revoked.”,elon musk decides to withdraw support for world boxing organization unless imane khelif s medal and million bonus are revoked
Michael Rulli,0,Kwasi Gyamfi,"• December 5,",“Pete Buttigieg will leave his post as Transportation Secretary having spent $7.5 billion to build 8 EV charging stations.”,pete buttigieg will leave his post as transportation secretary having spent billion to build ev charging stations
Threads posts,0,Gideon Hess,"December 5, 2024","Former presidents George H.W. Bush and Jimmy Carter issued pardons to a son and brother, respectively.",former presidents george h w bush and jimmy carter issued pardons to a son and brother respectively
Instagram posts,0,Maria Briceño,"December 5, 2024","""President Trump has announced a plan to prosecute the Biden administration for the 325,000 kids that went ‘missing’ into human trafficking & sex slavery during their open border policies.”",president trump has announced a plan to prosecute the biden administration for the kids that went missing into human trafficking sex slavery during their open border policies
Facebook posts,0,Sofia Ahmed,"December 5, 2024",“Reba McEntire states drag queens shouldn’t be around kids.”,reba mcentire states drag queens should not be around kids
